t,x,y,z,vx,vy,vz
0.000000,1.000000,1.500000,0.070000,0.000000,0.000000,0.000000
0.100000,1.000000,1.425000,0.095000,0.000000,-1.500000,0.500000
0.200000,1.000000,1.200000,0.170000,0.000000,-3.000000,1.000000
0.300000,0.993750,0.856250,0.282500,-0.250000,-3.250000,1.000000
0.400000,0.943750,0.581250,0.357500,-0.750000,-2.250000,0.500000
0.500000,0.868750,0.381250,0.407500,-0.750000,-1.750000,0.500000
0.600000,0.793750,0.231250,0.463750,-0.750000,-1.250000,0.750000
0.700000,0.725000,0.125000,0.551250,-0.500000,-1.000000,0.750000
0.800000,0.700000,0.025000,0.601250,-0.000000,-1.000000,0.250000
0.900000,0.725000,-0.075000,0.601250,0.500000,-1.000000,-0.250000
1.000000,0.725000,-0.075000,0.601250,0.500000,-1.000000,-0.250000
1.100000,0.709250,-0.185250,0.578750,-0.850000,-1.450000,-0.250000
1.200000,0.581000,-0.331500,0.558500,-1.600000,-1.600000,-0.100000
1.300000,0.456250,-0.456250,0.567750,-1.250000,-1.250000,0.150000
1.400000,0.344000,-0.568750,0.561500,-1.200000,-1.250000,-0.200000
1.500000,0.256250,-0.681250,0.563750,-0.750000,-1.250000,0.250000
1.600000,0.256250,-0.681250,0.563750,-0.750000,-1.250000,0.250000
1.700000,0.206250,-0.806250,0.613750,-0.250000,-1.250000,0.750000
1.800000,0.206250,-0.931250,0.713750,0.250000,-1.250000,1.250000
1.900000,0.250000,-1.056250,0.851250,0.500000,-1.250000,1.250000
2.000000,0.300000,-1.181250,0.951250,0.500000,-1.250000,0.750000
2.100000,0.400000,-1.256250,1.001250,1.500000,-0.250000,0.250000
2.200000,0.581250,-1.243750,1.013750,1.750000,0.250000,0.250000
2.300000,0.731250,-1.218750,1.063750,1.250000,0.250000,0.750000
2.400000,0.731250,-1.218750,1.063750,1.250000,0.250000,0.750000
2.500000,0.856250,-1.168750,1.113750,1.250000,0.750000,0.250000
2.600000,0.981250,-1.068750,1.113750,1.250000,1.250000,-0.250000
2.700000,1.100000,-0.943750,1.101250,1.000000,1.250000,0.250000
2.800000,1.100000,-0.943750,1.101250,1.000000,1.250000,0.250000
2.900000,1.127832,-0.804590,1.102715,-0.406250,1.718750,-0.218750
3.000000,1.023828,-0.621484,1.060234,-1.812500,2.187500,-0.687500
3.100000,0.797754,-0.396875,0.976250,-2.593750,2.500000,-1.000000
3.200000,0.576562,-0.162500,0.882500,-2.125000,2.500000,-1.000000
3.300000,0.399316,0.071875,0.788750,-1.656250,2.500000,-1.000000
3.400000,0.266016,0.286719,0.695000,-1.187500,1.875000,-1.000000
3.500000,0.168750,0.426465,0.601250,-1.000000,1.218750,-1.000000
3.600000,0.075000,0.525000,0.507500,-1.000000,1.000000,-1.000000
3.700000,0.075000,0.525000,0.507500,-1.000000,1.000000,-1.000000
3.800000,-0.000000,0.650000,0.432500,-0.500000,1.500000,-0.500000
3.900000,-0.025000,0.825000,0.407500,-0.000000,2.000000,-0.000000
4.000000,-0.006250,1.031250,0.426250,0.250000,1.750000,0.250000
4.100000,0.018750,1.156250,0.451250,0.250000,0.750000,0.250000
4.200000,0.018750,1.156250,0.451250,0.250000,0.750000,0.250000
4.300000,0.021811,1.165434,0.472679,-0.178571,-0.535714,0.250000
4.400000,-0.011862,1.064413,0.494107,-0.607143,-1.821429,0.250000
4.500000,-0.074107,0.885842,0.523699,-0.750000,-1.964286,0.535714
4.600000,-0.138393,0.735842,0.587985,-0.750000,-1.535714,0.964286
4.700000,-0.202679,0.620536,0.686964,-0.750000,-1.250000,1.250000
4.800000,-0.256633,0.523724,0.794107,-0.428571,-0.928571,1.250000
4.900000,-0.275000,0.462500,0.901250,0.000000,-0.500000,1.250000
5.000000,-0.275000,0.462500,0.901250,0.000000,-0.500000,1.250000
5.100000,-0.300000,0.337500,1.001250,-0.500000,-2.000000,0.750000
5.200000,-0.350000,0.162500,1.051250,-0.500000,-1.500000,0.250000
5.300000,-0.400000,0.012500,1.076250,-0.500000,-1.500000,0.250000
5.400000,-0.450000,-0.137500,1.101250,-0.500000,-1.500000,0.250000
5.500000,-0.500000,-0.237500,1.126250,-0.500000,-0.500000,0.250000
5.600000,-0.550000,-0.287500,1.151250,-0.500000,-0.500000,0.250000
5.700000,-0.600000,-0.337500,1.176250,-0.500000,-0.500000,0.250000
